Time,Source IP,Destination IP,Protocol,Length
14:08:03,192.168.1.9,104.18.18.125,TCP,738
14:08:04,192.168.1.9,104.18.18.125,TCP,738
14:08:04,104.18.18.125,192.168.1.9,TCP,54
14:08:04,104.18.18.125,192.168.1.9,TCP,135
14:08:04,104.18.18.125,192.168.1.9,TCP,66
14:08:04,104.18.18.125,192.168.1.9,TCP,135
14:08:04,192.168.1.57,224.0.0.251,UDP,119
14:08:04,104.18.18.125,192.168.1.9,TCP,66
14:08:04,192.168.1.9,104.18.18.125,TCP,66
14:08:05,192.168.1.9,104.18.18.125,TCP,669
14:08:05,192.168.1.9,104.18.18.125,TCP,85
14:08:05,104.18.18.125,192.168.1.9,TCP,54
14:08:05,104.18.18.125,192.168.1.9,TCP,54
14:08:05,104.18.18.125,192.168.1.9,TCP,135
14:08:05,192.168.1.9,104.18.18.125,TCP,54
14:08:07,192.168.1.9,224.0.0.251,OTHER,46
14:08:08,192.168.1.9,104.18.18.125,TCP,506
